Дата;Наименование препарата как у нас;Наименование препарата как у аптеки;Наименование АС;Ссылка на препарат;Город;Цена
24-03-2022;;Авент бутылочка для кормления с соской (классик) 125мл N1;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;851 ₽
24-03-2022;;Philips Avent чашка-поильник 260 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 347 ₽
24-03-2022;;Philips Avent Natural соска для новорожденных 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 166 ₽
24-03-2022;;Philips Avent Natural бутылочка  260 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 050 ₽
24-03-2022;;Avent кружка поильник с носиком 12 мес + 260 мл 1 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 124 ₽
24-03-2022;;Авент вкладыши д.бюстгалтера N60;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 348 ₽
24-03-2022;;Philips AVENT Бутылочки полипропиленовые Classic+ 260 мл, 2 шт с 1 мес.;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 494 ₽
24-03-2022;;Avent соска для новорожденных 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 095 ₽
24-03-2022;;Avent накладка на сосок 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 001 ₽
24-03-2022;;Avent набор тренировочный от 3 мес 8611;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 202 ₽
24-03-2022;;Avent соска силиконовая переменный поток Natural 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;854 ₽
24-03-2022;;Авент ложка для введения прикорма от 6 месяцев N2;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 070 ₽
24-03-2022;;Philips Avent Natural соска средний поток 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 090 ₽
24-03-2022;;Контейнеры AVENT для хранения грудного молока (10 шт х 180 мл) 84470;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;2 020 ₽
24-03-2022;;Авент соска поток средний N2;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;731 ₽
24-03-2022;;Avent Natural бутылочка для кормления 125 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 103 ₽
24-03-2022;;Avent вкладыши для бюстгальтера одноразовые 5950 30 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 100 ₽
24-03-2022;;Avent Design пустышка силиконовая 6-18 мес 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;979 ₽
24-03-2022;;Авент молокоотсос руч.philips nat.86530;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;4 719 ₽
24-03-2022;;Соска Philips AVENT Classic+ силиконовая для густых жидкостей 6м+ 2шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 010 ₽
24-03-2022;;Avent молокоотсос ручной 86820;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;5 779 ₽
24-03-2022;;Philips Avent Free Flow Des соска 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 126 ₽
24-03-2022;;Авент пустышка фри флоу 6-18 мес. N1;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;695 ₽
24-03-2022;;Avent Free Flow пустышка силиконовая для мальчиков 6-18 мес 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 124 ₽
24-03-2022;;Philips Avent кружка-поильник 260 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 301 ₽
24-03-2022;;Philips Avent пакет для хранения грудного молока 180 мл (SCF603) 25 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 005 ₽
24-03-2022;;Philips Avent Natural соска медленный поток 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 091 ₽
24-03-2022;;Авент щетка/ершик/ для мытья бут/сос;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 058 ₽
24-03-2022;;Philips Avent Natural бутылочка 125 мл 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;1 897 ₽
24-03-2022;;Avent Design пустышка для девочки 0-6 месяцев 1 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;894 ₽
24-03-2022;;Армавискон+ протез синовиальной жидкости шприц 1,5% 2 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;9 014 ₽
24-03-2022;;Армавискон протез синовиальной жидкости шприц 1% 2 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;6 325 ₽
24-03-2022;;Армавискон Форте протез шприц 2,3% 3 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;18 901 ₽
24-03-2022;;Армавискон 1% средство для внутрисуставного введения шприц 2 мл 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;11 688 ₽
24-03-2022;;Армавискон хондро протез синовинальной жидкости шприц 60 мг+90 мг/3 мл 1 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;17 861 ₽
24-03-2022;;Армавискон плюс 1,5 % средство для внутрисуставного введения шприц 2 мл 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;19 503 ₽
24-03-2022;;Армавискон МН протез синовинальной жидкости шприц 40 мг+10 мг/2 мл 1 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;9 975 ₽
24-03-2022;;Canpol Space пустышка круглая латексная 6-18 мес;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;378 ₽
24-03-2022;;Chicco Fresh Relax прорезыватель Кольцо голубое;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;698 ₽
24-03-2022;;Chicco Physio Comfort пустышка слоники 6-12 месяцев 1 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;781 ₽
24-03-2022;;Chicco Fresh Relax прорезыватель Кольцо розовое;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;792 ₽
24-03-2022;;Sanosan детский крем для ухода за кожей 75 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;506 ₽
24-03-2022;;Chicco Baby палочки ватные с ограничителем  0+ 88 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;484 ₽
24-03-2022;;Sanosan крем под подгузник с пантенолом 100 мл;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;1 001 ₽
24-03-2022;;Chicco Natural Feeling накладка силиконовая для кормления 2 шт;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;1 321 ₽
24-03-2022;;Canpol Night Dreams пустышка анатомическая силиконовая 0-6 мес;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;536 ₽
24-03-2022;;Canpol Newborn пустышка круглая силиконовая 0-6 мес;36 и 6;https://366.ru/search/?text=%D0%B0%D1%82%D1%80%D0%B8+%D0%B8%D0%BD%D0%B6;Москва;536 ₽
