Дата;Наименование препарата как у нас;Наименование препарата как у аптеки;Наименование АС;Ссылка на препарат;Город;Цена
24-03-2022;;АРМАВИСКОН Форте средство для внутрисуставного введения 2,3% 3мл №1 шприц;Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Живика;16 025.70
24-03-2022;;АРМАВИСКОН Плюс средство для внутрисуставного введения 1,5% 2мл №1 шприц;Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Живика;7 086.40
24-03-2022;;АРМАВИСКОН МН средство для околосухожильного и внутрисуставного введения 2мл шприц №1;Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Живика;7 234.80
24-03-2022;;АРМАВИСКОН средство для внутрисуставного введения 1% 2мл №2 шприц;Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Живика;8 176.70
24-03-2022;;АРМАВИСКОН средство для внутрисуставного введения 1% 2мл №1 шприц;Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Живика;5 067.80
24-03-2022;;Артогистан р-р д/и/в/м 100мг/мл 2мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;1 320.00
24-03-2022;;Мукосат р-р д/и/в/м 10% 2мл амп №5 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;787.80
24-03-2022;;Артогистан р-р д/и/в/м 100мг/мл 1мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;759.00
24-03-2022;;Драстоп р-р д/и/в/м 100мг/мл 2мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;1 166.00
24-03-2022;;Инъектран р-р д/и/в/м 100мг/мл 2мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;1 592.00
24-03-2022;;Хондрогард р-р д/и/в/м/в/с 100мг/мл 1мл №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;907.00
24-03-2022;;Хондрогард р-р д/и/в/м/в/с 100мг/мл 2мл №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;1 728.30
24-03-2022;;Хондрогард р-р д/и/в/м/в/с 100мг/мл 2мл №25 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;2 776.70
24-03-2022;;Хондролон пор-к д/и/в/м 100мг амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;539.90
24-03-2022;;Хондроксид мазь 5% 30г туба (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;347.00
24-03-2022;;Хонсат р-р д/и/в/м 100мг/мл 1мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;688.30
24-03-2022;;Структум капс. 500мг №60 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;1 833.00
24-03-2022;;Хондроитин-акос мазь 5% 50г туба /синтез/ (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;289.70
24-03-2022;;Мукосат р-р д/и/в/м 100мг/мл 1мл амп №10 (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;888.70
24-03-2022;;Хондроитин гель 5% 30г туба /вертекс/ (Хондроитина сульфат);Живика;https://zhivika.ru/search/resultPage?searchString=%D0%90%D1%80%D1%82%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B0%D0%BD;Живика;218.00
