Дата;Наименование препарата как у нас;Наименование препарата как у аптеки;Наименование АС;Ссылка на препарат;Город;Цена
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 2106 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 3273 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 1564 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 1128 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 790 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 803 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 467 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 778 ₽
25-03-2022;;БиВелл Ингалятор (небулайзер) компрессорный PRO-110;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 1998 ₽
25-03-2022;;Арбидол максимум капсулы 200мг №10;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 526 ₽
25-03-2022;;Гриппферон капли 10тыс.МЕ/мл флакон 10мл;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 251 ₽
25-03-2022;;Урефрон таблетки №50;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 307 ₽
25-03-2022;;Оксифрин спрей назальный 22,5мкг/доза флакон 15мл;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 198 ₽
25-03-2022;;Тест для определения беременности №2;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 101 ₽
25-03-2022;;Витамин Д3 2000МЕ + К2 100 мкг таблетки с 3-х лет №60;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 338 ₽
25-03-2022;;Гептрал таблетки 400мг №20;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 1721 ₽
25-03-2022;;Седафитон (Фитоспокоин) таблетки №30;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 228 ₽
25-03-2022;;Тонометр А-23 автоматический на плечо с адаптером увеличенная манжета 25-36см;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 2048 ₽
25-03-2022;;Пеленки впитывающие 60х90см №30;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 878 ₽
25-03-2022;;Антацидин таблетки жевательные №27;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 204 ₽
25-03-2022;;Шампунь против перхоти с кетоконазолом 150мл;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 298 ₽
25-03-2022;;Витамин Д3 2000МЕ капсулы №30;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 307 ₽
25-03-2022;;Мирролластин раствор для местного применения 0,01% флакон 150мл;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 299 ₽
25-03-2022;;Эссенциале форте Н капсулы 300мг №90;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 1528 ₽
25-03-2022;;Гель для тела Нормафлекс MSM 75мл;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 238 ₽
25-03-2022;;Сироп Подорожника Бронхинорм флакон 150мл;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 122 ₽
25-03-2022;;Вижн Форте комплекс лютеином, зеаксантином и экстрактом черники таблетки №30;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 328 ₽
25-03-2022;;Салфетки влажные антибактериальные №15;Апрель;https://apteka-april.ru/search/%D0%B0%D0%B4%D0%B0%D0%BD%D1%82;Москва;Клубная цена 46 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;Клубная цена 8233 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;Клубная цена 15424 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;Клубная цена 4403 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;Клубная цена 16354 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;Клубная цена 13115 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;Клубная цена 6337 ₽
25-03-2022;;;Апрель;https://apteka-april.ru/search/%D0%B0%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%81%D0%BA%D0%BE%D0%BD;Москва;Клубная цена 6756 ₽
